Profit,Exit Price,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3
0,0.7126,0.7137,0.7127,0.7134,0.7135,44,0.713957143,0.7137,0.7128,0.7137,0.7128,46,0.714171429,0.7141,0.7134,0.7135,0.7139,58,0.714485714
0,0.7097,0.7136,0.7128,0.7134,0.7133,51,0.713785714,0.7138,0.7131,0.7138,0.7134,28,0.713928571,0.7137,0.7133,0.7137,0.7136,30,0.713914286
0,0.7037,0.702,0.701,0.702,0.701,31,0.702571429,0.7023,0.7016,0.7016,0.702,42,0.702814286,0.7023,0.7015,0.7015,0.7017,27,0.7033
0,0.6978,0.6994,0.6978,0.6991,0.6983,52,0.699114286,0.6994,0.6981,0.6982,0.699,54,0.699142857,0.6992,0.6973,0.6979,0.6984,92,0.699442857
1,0.7035,0.7007,0.7,0.7,0.7004,57,0.700757143,0.7003,0.6994,0.6997,0.6998,72,0.700885714,0.7016,0.6997,0.7003,0.6997,94,0.701242857
0,0.7043,0.705,0.7043,0.7045,0.705,42,0.705071429,0.7046,0.7041,0.7044,0.7045,68,0.7053,0.7047,0.7031,0.7035,0.7047,104,0.705571429
1,0.7095,0.7053,0.704,0.7041,0.7046,228,0.704971429,0.704,0.7024,0.7036,0.704,145,0.705114286,0.7045,0.7015,0.7028,0.7036,258,0.705528571
0,0.7094,0.7112,0.7103,0.7107,0.7107,38,0.710857143,0.7113,0.7097,0.7104,0.7107,117,0.710957143,0.7107,0.7092,0.7095,0.7103,79,0.711085714
0,0.7102,0.7106,0.7096,0.7102,0.7096,46,0.711585714,0.7109,0.7097,0.7103,0.7102,100,0.711842857,0.7107,0.7099,0.7107,0.7103,40,0.7121
0,0.7099,0.7105,0.7098,0.7105,0.71,56,0.710671429,0.711,0.7102,0.7103,0.7102,46,0.710714286,0.7106,0.71,0.7102,0.71,45,0.710828571
0,0.7058,0.7067,0.7054,0.7064,0.7067,105,0.706814286,0.7078,0.7064,0.7072,0.7064,94,0.706785714,0.7074,0.7064,0.7066,0.707,104,0.707028571
1,0.7114,0.7056,0.7039,0.7039,0.7056,199,0.705728571,0.7042,0.7028,0.7031,0.704,202,0.705857143,0.7041,0.7022,0.7041,0.7031,228,0.706214286
0,0.718,0.7189,0.7178,0.718,0.7182,97,0.718985714,0.7183,0.7181,0.7183,0.7181,30,0.719157143,0.7191,0.7182,0.719,0.7184,60,0.718357143
0,0.7188,0.7192,0.7183,0.7183,0.7186,62,0.7187,0.7184,0.7173,0.718,0.7184,29,0.718771429,0.7182,0.7172,0.7174,0.7176,46,0.718842857
1,0.7178,0.7133,0.7126,0.7128,0.7128,45,0.713442857,0.7141,0.7128,0.7137,0.7128,70,0.713342857,0.714,0.7124,0.713,0.7138,109,0.713742857
0,0.709,0.7108,0.7097,0.7105,0.7105,67,0.709085714,0.7108,0.7098,0.7099,0.7108,41,0.708842857,0.7118,0.7101,0.7106,0.7101,128,0.708542857
1,0.7311,0.7177,0.7164,0.7164,0.7177,65,0.717928571,0.7169,0.7157,0.7158,0.7163,71,0.718271429,0.7169,0.7159,0.7169,0.7159,76,0.7187
1,0.7374,0.7316,0.7308,0.7308,0.7312,24,0.731614286,0.7315,0.7304,0.7305,0.731,114,0.731628571,0.7316,0.7298,0.7316,0.7304,105,0.731757143
1,0.7414,0.7368,0.7357,0.7358,0.7365,127,0.737014286,0.7364,0.7353,0.7353,0.7358,41,0.737128571,0.7368,0.7351,0.7367,0.7353,120,0.737242857
0,0.7392,0.7394,0.7378,0.738,0.7385,163,0.739042857,0.7381,0.7369,0.7378,0.738,118,0.738985714,0.7387,0.7374,0.7375,0.7382,107,0.739128571
0,0.7428,0.744,0.7432,0.7432,0.7435,30,0.743985714,0.7439,0.7431,0.7437,0.7432,68,0.743885714,0.7444,0.7435,0.7443,0.7438,30,0.743885714
0,0.7417,0.7429,0.7415,0.7428,0.7428,196,0.744085714,0.7447,0.7424,0.7444,0.7428,165,0.744185714,0.7445,0.7435,0.7435,0.7444,54,0.743214286
0,0.7449,0.7467,0.7463,0.7465,0.7466,66,0.746828571,0.7467,0.7461,0.7461,0.7464,66,0.746957143,0.7462,0.745,0.7451,0.7462,93,0.747085714
0,0.7538,0.7539,0.7533,0.7537,0.7539,81,0.753942857,0.7537,0.7529,0.7533,0.7537,55,0.753985714,0.7534,0.7529,0.7534,0.7532,88,0.754228571
0,0.7572,0.7578,0.7572,0.7577,0.7577,23,0.757385714,0.7582,0.7576,0.7578,0.7578,28,0.757357143,0.7582,0.7575,0.7575,0.7581,24,0.757328571
1,0.7591,0.7498,0.7484,0.749,0.7484,127,0.749385714,0.7495,0.7472,0.7473,0.7495,194,0.749428571,0.7492,0.7472,0.7484,0.7472,114,0.749528571
1,0.7628,0.7593,0.7579,0.7579,0.7591,120,0.7595,0.7588,0.7577,0.7586,0.7579,98,0.759757143,0.759,0.7584,0.759,0.7587,54,0.759885714
0,0.7625,0.763,0.7626,0.7627,0.763,25,0.763285714,0.7632,0.7629,0.7632,0.763,22,0.763257143,0.7636,0.7631,0.7634,0.7631,11,0.763285714
1,0.764,0.7629,0.7605,0.7606,0.7617,248,0.761942857,0.7613,0.7597,0.7605,0.7612,238,0.761842857,0.7617,0.7607,0.7615,0.7607,90,0.762057143
0,0.7619,0.7634,0.7627,0.7631,0.7627,31,0.763271429,0.7633,0.7626,0.7628,0.7631,87,0.763314286,0.7624,0.762,0.7624,0.762,34,0.7635
0,0.7496,0.7511,0.7499,0.7509,0.7511,91,0.7502,0.7515,0.7504,0.7505,0.7509,82,0.750185714,0.7513,0.7503,0.7507,0.7506,87,0.750185714
0,0.7681,0.7677,0.7665,0.7667,0.7668,149,0.768328571,0.7674,0.7651,0.7661,0.7667,256,0.768628571,0.7677,0.7658,0.7661,0.7662,285,0.768957143
1,0.7745,0.7634,0.7614,0.7626,0.7621,134,0.764057143,0.7639,0.7625,0.7634,0.7629,126,0.7628,0.7643,0.7635,0.7636,0.7637,64,0.762614286
1,0.7773,0.7754,0.7732,0.7742,0.7754,180,0.775942857,0.775,0.7739,0.7748,0.7745,187,0.775871429,0.7758,0.7744,0.7757,0.7748,163,0.774671429
0,0.7772,0.7785,0.7769,0.777,0.7782,249,0.778828571,0.7782,0.7765,0.7778,0.7766,179,0.778942857,0.7783,0.7768,0.7779,0.7779,233,0.7776
1,0.7775,0.7774,0.7767,0.777,0.7768,59,0.777185714,0.7775,0.776,0.7767,0.7768,100,0.777042857,0.7771,0.7758,0.7765,0.7766,111,0.777028571
0,0.7776,0.7783,0.7773,0.7775,0.7781,102,0.778771429,0.7788,0.7775,0.7786,0.7775,142,0.778757143,0.7798,0.7782,0.7789,0.7789,120,0.777557143
0,0.7752,0.7785,0.7772,0.7784,0.7776,91,0.778871429,0.7788,0.778,0.7781,0.7788,50,0.777685714,0.7783,0.7773,0.7775,0.7781,102,0.778771429
0,0.7555,0.7615,0.7603,0.7603,0.7611,208,0.761585714,0.7604,0.7588,0.7594,0.7602,207,0.761557143,0.7607,0.7586,0.76,0.7588,231,0.761542857
0,0.745,0.7483,0.7473,0.7483,0.7477,83,0.746557143,0.7487,0.7474,0.7476,0.7483,61,0.7464,0.7477,0.747,0.7471,0.7476,70,0.746285714
0,0.7354,0.7361,0.7357,0.7359,0.7358,43,0.7358,0.7367,0.7355,0.7367,0.7355,122,0.735442857,0.7371,0.7364,0.7369,0.7364,42,0.735171429
0,0.7309,0.7315,0.73,0.73,0.7314,137,0.731814286,0.7306,0.7292,0.7304,0.7302,193,0.731871429,0.7316,0.73,0.7316,0.7302,178,0.732142857
0,0.7269,0.728,0.7274,0.728,0.7276,29,0.7272,0.7283,0.7277,0.728,0.7278,68,0.7271,0.7284,0.7272,0.7282,0.728,206,0.726914286
