Profit,Exit Price,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3
0,0.7027,0.7055,0.7033,0.7033,0.7049,276,0.702528571,0.7045,0.7028,0.7041,0.7032,227,0.704271429,0.7043,0.7027,0.7028,0.704,162,0.704671429
0,0.7018,0.7034,0.7024,0.7024,0.7027,29,0.701671429,0.7028,0.7019,0.7019,0.7025,57,0.7026,0.702,0.7013,0.7015,0.7015,70,0.702628571
0,0.7025,0.7021,0.7012,0.7021,0.7014,37,0.701385714,0.7027,0.7015,0.7022,0.7018,65,0.7014,0.7026,0.7013,0.7015,0.7023,119,0.701228571
0,0.7023,0.7027,0.7013,0.7017,0.7025,111,0.701142857,0.7024,0.701,0.701,0.7018,115,0.7021,0.7019,0.701,0.7012,0.7013,45,0.702071429
1,0.6978,0.702,0.7001,0.7014,0.7001,84,0.699685714,0.7015,0.7004,0.7005,0.7015,63,0.699571429,0.7008,0.7,0.7004,0.7008,58,0.699514286
0,0.7136,0.7127,0.712,0.7123,0.7121,58,0.711828571,0.7125,0.7117,0.7117,0.7125,29,0.711814286,0.7121,0.7115,0.7115,0.7116,41,0.711728571
0,0.7142,0.7137,0.7127,0.7134,0.7135,44,0.713957143,0.7137,0.7128,0.7137,0.7128,46,0.714171429,0.7141,0.7134,0.7135,0.7139,58,0.714485714
0,0.7077,0.7067,0.7054,0.7064,0.7054,66,0.705385714,0.7066,0.7054,0.7054,0.7063,63,0.705342857,0.7067,0.7043,0.7067,0.7061,179,0.7053
0,0.7115,0.7135,0.7125,0.7128,0.713,53,0.712328571,0.7131,0.712,0.7131,0.7126,55,0.712328571,0.7138,0.7132,0.7132,0.7137,35,0.712271429
0,0.7109,0.7108,0.7097,0.7105,0.7105,67,0.709085714,0.7108,0.7098,0.7099,0.7108,41,0.708842857,0.7118,0.7101,0.7106,0.7101,128,0.708542857
0,0.7103,0.71,0.7095,0.7097,0.7095,23,0.709471429,0.7109,0.7094,0.7108,0.7094,46,0.709342857,0.7112,0.7104,0.7105,0.7112,26,0.709257143
0,0.7091,0.7106,0.7097,0.7105,0.7103,36,0.709385714,0.7099,0.7095,0.7095,0.7096,19,0.710142857,0.7096,0.7092,0.7095,0.7093,30,0.710342857
0,0.7118,0.7135,0.7094,0.7119,0.71,341,0.709928571,0.7123,0.7108,0.7108,0.7118,101,0.709971429,0.7119,0.711,0.7113,0.711,60,0.711742857
0,0.719,0.7177,0.7164,0.7164,0.7177,65,0.717928571,0.7169,0.7157,0.7158,0.7163,71,0.718271429,0.7169,0.7159,0.7169,0.7159,76,0.7187
0,0.7597,0.7578,0.7572,0.7577,0.7577,23,0.757385714,0.7582,0.7576,0.7578,0.7578,28,0.757357143,0.7582,0.7575,0.7575,0.7581,24,0.757328571
1,0.7481,0.7598,0.7586,0.7594,0.7587,52,0.758085714,0.7595,0.7588,0.7589,0.759,56,0.757942857,0.76,0.7582,0.76,0.759,118,0.757757143
0,0.7476,0.749,0.7485,0.749,0.7487,30,0.748457143,0.7495,0.749,0.7495,0.749,10,0.7482,0.7494,0.7486,0.7488,0.7494,25,0.747914286
0,0.7507,0.7502,0.7497,0.7501,0.7501,53,0.750042857,0.7511,0.7499,0.7511,0.7499,63,0.749928571,0.7513,0.7505,0.7507,0.751,78,0.749757143
0,0.7632,0.7643,0.7624,0.7626,0.7643,168,0.762757143,0.7633,0.7619,0.7632,0.7629,152,0.7628,0.7639,0.7627,0.7632,0.7632,91,0.762785714
0,0.7583,0.7608,0.759,0.7604,0.76,258,0.758171429,0.7609,0.7591,0.7592,0.7608,135,0.757871429,0.7599,0.758,0.758,0.7593,161,0.757614286
1,0.7502,0.757,0.7548,0.7568,0.7558,153,0.754257143,0.757,0.7554,0.7555,0.7566,206,0.754185714,0.7583,0.7549,0.7583,0.7555,238,0.7541
0,0.7538,0.753,0.7508,0.7529,0.7522,207,0.751942857,0.7534,0.7519,0.7523,0.7532,108,0.751942857,0.7527,0.7521,0.7522,0.7525,62,0.751628571
0,0.7593,0.7593,0.7576,0.7578,0.7582,222,0.7566,0.7581,0.757,0.7576,0.7578,64,0.756228571,0.7576,0.7565,0.7568,0.7575,47,0.7558
0,0.748,0.7478,0.7467,0.7474,0.7472,54,0.747628571,0.7472,0.7469,0.7472,0.7469,20,0.7476,0.7474,0.7468,0.7472,0.7472,29,0.7477
0,0.7523,0.7511,0.7499,0.7509,0.7511,91,0.7502,0.7515,0.7504,0.7505,0.7509,82,0.750185714,0.7513,0.7503,0.7507,0.7506,87,0.750185714
0,0.7527,0.7524,0.752,0.7524,0.7523,109,0.7511,0.754,0.7516,0.7536,0.752,224,0.7508,0.7545,0.7525,0.7531,0.7536,277,0.750628571
0,0.7528,0.7534,0.7526,0.7534,0.7527,59,0.7519,0.7537,0.7527,0.7527,0.7535,81,0.7517,0.7527,0.7515,0.7516,0.7527,55,0.751471429
0,0.7534,0.7525,0.751,0.7521,0.7522,188,0.751785714,0.754,0.7515,0.754,0.7521,172,0.751571429,0.7543,0.7529,0.753,0.754,135,0.751428571
