Profit,HH,Input,Score,ADX_Main,ADX_SMA,Dist_ADX,Dist_Step,H1,L1,O1,C1,V1,H2,L2,O2,C2,V2,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
0,7,1.001477367,0.494697346,-1.060530806,14.77366742,0.702211355,0.856788812,100.2128414,99.94678964,99.98226321,100.1951046,95.92616168,100.0709471,99.82263214,99.82263214,100,100,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
0,8,1.000177148,0.493090886,-1.381822789,1.771479185,1.388152003,0.915692526,100.0176991,99.75221239,99.96460177,99.92920354,93.87287025,100.1061947,99.91150442,99.98230088,100,100,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0
1,9,1.000473373,0.479435579,-4.112884127,4.733727811,0.895130076,0.823278921,100.1775884,99.96448233,99.98224116,100.0887942,76.00401606,100.3729355,100,100.2841414,100,100,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
0,10,1.000235877,0.474696611,-5.060677849,2.358768723,1.388069179,1.223912274,100.3895874,99.91145741,100,100.1239596,231.2361363,100.1062511,99.85833186,99.87604038,100,100,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0
1,11,1.000295229,0.503536531,0.707306142,2.952290978,1.206461861,1.135115991,100.0531256,99.85833186,100,100,85.08178844,100.1770852,99.94687445,100.1239596,100,100,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
0,13,1.000531067,0.500316549,0.063309726,5.310674456,1.002753637,1.093418259,100.0885112,99.91148876,100,100.0531067,65.234375,100.141618,99.87608426,100.0354045,100,100,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0
1,21,1.000117883,0.495500121,-0.899975701,1.178828245,0.28296445,0.401343706,100.0353482,99.8232591,100,99.96465182,22.18858131,100.1237186,99.36373277,99.55814776,100,100,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,22,1.001295261,0.487500987,-2.499802529,12.95260524,1.964036636,0.569765391,100.194415,99.98232591,100.0176741,100.194415,73.87470145,100.1237186,99.91162955,99.96465182,100,100,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0
0,23,1.000176554,0.477898423,-4.420315428,1.765536723,2.894076645,0.432480141,100.0706339,99.96468303,100.0176585,100.035317,81.41463415,100.1412679,99.98234152,100.1059509,100,100,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1,1,1.000353732,0.499509297,-0.098140696,3.537318712,2.684470797,0.258132956,100.0353732,99.96462681,100,100.0353732,23.47266881,100.2652989,99.96462681,100.2299257,100,100,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,2,1.000471281,0.496301171,-0.739765722,4.71281296,2.7813963,0.326797386,100.0706964,99.96465182,99.98232591,100.0530223,105.2208835,100.0176741,99.94697773,99.94697773,100,100,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1
