Profit,HH,Input,Score,ADX_Main,ADX_SMA,Dist_ADX,Dist_Step,H1,L1,O1,C1,V1,H2,L2,O2,C2,V2,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
1,9,1.001186749,0.526086492,5.217298478,11.86748813,0.935211597,0.10138458,100.1970891,100.0075804,100.0075804,100.1895088,95.27186761,100.0682232,99.84839297,99.84839297,100,100,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
0,10,0.999697748,0.491728437,-1.654312604,-3.022517757,1.725500739,0.234315949,100.151183,99.9546451,100.0075592,100.0075592,92.51259899,100.0755915,99.90173105,99.9092902,100,100,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,2,0.999772658,0.495500121,-0.899975701,-2.273416187,0.135867839,0.116728568,100.0151538,99.93938476,100,99.96211547,66.09195402,100.0378845,99.91665404,99.93180785,100,100,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,3,0.999722173,0.497562429,-0.487514137,-2.778268886,1.292182911,0.137941489,100.0985296,99.9924208,99.9924208,100,99.17012448,100.0606336,99.93936638,99.9924208,100,100,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1,4,0.999469576,0.499282136,-0.143572702,-5.304235811,1.676389636,0.140257771,100.0303053,99.90908402,100.0151527,99.93181302,136.3636364,100.0151527,99.93181302,99.96969467,100,100,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0
1,5,1.000227204,0.506498043,1.299608555,2.272038776,2.069012629,0.324827743,100.0909091,100,100,100.0530303,202.8571429,100.0151515,99.89393939,99.93181818,100,100,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
1,6,1.000479302,0.497215281,-0.556943868,4.79301733,3.227612758,0.520423601,100.0908403,99.98485995,100.00757,100.0757002,224.5614035,100.0454201,99.98485995,99.99242998,100,100,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0
0,7,1.000956384,0.497553094,-0.489381231,9.563838623,5.554102295,0.867466244,100.2493389,99.96222138,100,100.1662259,346.0490463,100.0453343,99.93955421,99.96977711,100,100,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0
0,8,1,0.496869825,-0.626035008,0,6.521391674,0.804771252,100.0452967,99.93205496,100.0226483,100,119.5729537,100.0905934,100,100.0830439,100,100,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
1,10,1.001506024,0.491749984,-1.6500031,15.06024096,6.90348612,1.17443609,100.2411454,99.98492841,100,100.2260739,154.8717949,100.0150716,99.66088922,99.6910324,100,100,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0
