Profit,HH,Input,Score,ADX_Main,ADX_SMA,Dist_ADX,Dist_Step,H1,L1,O1,C1,V1,H2,L2,O2,C2,V2,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
1,17,1.000882145,0.500298713,0.059742543,8.821453776,3.307372081,-1.172219284,100.1235004,99.89414255,99.98235709,100.0882145,43.28401299,100.2470007,99.75299929,100.1587862,100,100,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,18,0.999289142,0.50437368,0.874736092,-7.108583615,7.185071445,-2.1127512,100.1064963,99.52076677,100,99.80475683,111.0874021,100.6922258,99.94675186,100.6922258,100,100,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
1,19,1.000711491,0.50437368,0.874736092,7.114905728,8.913854817,-2.079630288,100.0533428,99.85775249,99.98221906,100.0355619,63.29393957,100.1066856,99.82219061,99.98221906,100,100,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
0,19,1.002014934,0.526125651,5.225130282,20.14934218,9.536832565,-1.898509581,100.2488446,99.6978315,99.98222538,100.1777462,335.9363503,100.0177746,99.82225382,99.94667615,100,100,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1
0,20,1.000354673,0.529319976,5.863995108,3.546728143,9.818085518,-1.794008155,100.1951739,99.96451384,100,100.0887154,32.35495441,100.0709723,99.52093683,99.80482612,100,100,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,22,1.000828549,0.503550795,0.710159057,8.285494467,8.367447478,-1.83430903,100.0887626,99.87573229,100,100.0710101,148.3737024,100.1065152,99.94674241,100.0532576,100,100,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0
1,23,1.000946522,0.502736323,0.547264524,9.465215334,7.417895633,-1.780141844,100.1241795,99.82260067,99.92904027,100.0532198,56.34328358,100.0177399,99.80486074,99.92904027,100,100,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0
0,1,0.999940954,0.50353938,0.707875916,-0.590458196,5.182105862,-1.670504872,100.0531444,99.98228521,99.98228521,100,77.5210084,100.0354296,99.85828167,99.91142604,100,100,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
0,2,0.999232948,0.504335965,0.867192972,-7.670521595,1.508513984,-1.581930912,100.1593484,99.92917847,99.98229462,99.94688385,324.7321429,100.1062323,99.94688385,100.0708215,100,100,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0
0,9,1.000533808,0.520539465,4.107893079,5.338078292,0.946880757,-0.834074338,100.017762,99.44937833,100,99.87566607,320.8172281,100.071048,99.91119005,100.071048,100,100,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
0,11,0.999408179,0.500336236,0.067247191,-5.918210333,0.633344535,-0.360632439,100.0532387,99.78704525,100.0177462,99.89352263,74.1328534,100.2129547,99.94676131,100.0354925,100,100,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1
1,14,0.998331347,0.505253749,1.050749858,-16.68653159,1.200271759,-0.986747851,100.0178476,99.44672497,100.0178476,99.66089595,140.3288245,100.1963234,99.75013386,100.0356952,100,100,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1
1,15,0.999399002,0.604526975,20.90539499,-6.009976561,2.597408825,-1.780624211,100.0360036,99.49594959,100,99.7839784,97.22049169,100.6120612,99.9459946,100.5220522,100,100,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,21,1.000412712,0.500313141,0.06262822,4.127115146,1.132800426,-0.097241867,100.12385,99.9646143,100,100.0707714,40.11870741,100.3007785,99.98230715,100.2476999,100,100,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
0,4,0.989828468,0.581358737,16.27174747,-101.7153175,2.203767316,-3.250638453,100,98.34799785,100,98.43778057,131.0957492,100.0359131,99.03034656,99.85634764,100,100,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1
0,6,0.996380746,0.51444803,2.889605926,-36.19254434,5.003889777,-2.907737014,100.0180375,99.00793651,100,99.31457431,160.386073,100.0721501,99.44083694,99.65728716,100,100,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
0,7,0.999699248,0.54958593,9.917186019,-3.007518797,4.429651232,-2.277978339,100.2346147,99.83757445,99.96390543,99.98195272,103.2845027,100.0360946,99.16982494,99.35029778,100,100,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
1,8,1.00334568,0.575602721,15.1205443,33.45680488,1.600551515,-1.159342622,100.358038,99.2839241,100,100.2148228,129.7162542,100.4833512,99.17651271,99.21231651,100,100,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0,8,1,0.503611264,0.722252717,0,0.173798478,-1.213583557,100.0893176,99.76777421,99.98213648,99.94640943,72.7584038,100.1429082,99.07109682,99.78563773,100,100,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.001129205,0.505199866,1.039973198,11.29204802,0.524327016,-1.435440784,100.3036256,100.107162,100.107162,100.2857653,71.9223772,100.1428827,99.92855867,100.0178603,100,100,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
1,2,0.999821969,0.501155675,0.231134913,-1.780309774,0.456988232,-1.344373219,100.0356062,99.94659071,100.0178031,99.9821969,42.66813671,100.0534093,99.87537832,99.89318141,100,100,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1.000475483,0.500351756,0.07035121,4.754829123,0.411626272,-1.352700053,100.071314,99.91085755,99.98217151,100.035657,128.4909205,100.1782849,99.96434302,99.96434302,100,100,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1
1,10,1.002321843,0.520588575,4.117714985,23.21843186,0.992049145,-0.449037776,100.2321843,99.78567601,99.98213967,100.2321843,131.7925387,100.2500447,99.91069834,100.1428827,100,100,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1
0,12,0.998984408,0.447051608,-10.58967847,-10.15592329,3.037552535,-0.972371726,100.0178955,99.55261274,99.98210451,99.74946314,188.9483934,100.3937008,99.92841804,100.3758053,100,100,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1
0,12,0.998504516,0.505274768,1.054953677,-14.95483639,4.228531119,-1.153846154,100.1435235,99.78471475,99.98205956,99.82059562,54.35884222,100.2691066,99.80265518,100.2332257,100,100,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1
1,14,1.000239134,0.504451692,0.890338315,2.391343337,4.988870262,-0.814057737,100.161406,99.80272597,100.017934,100.017934,134.2276905,100.053802,99.80272597,99.89239598,100,100,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
1,16,0.998855215,0.508618038,1.723607532,-11.44785202,7.034940988,-1.664857039,100.1264679,99.72899729,100,99.83739837,103.4390704,100.4516712,99.85546522,100.3432701,100,100,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
0,17,0.999210734,0.520277995,4.055599009,-7.892659826,7.506973462,-2.349617207,100.0910415,99.81791697,100,99.89075018,72.62566801,100.8557902,99.85433358,100.8375819,100,100,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,18,1.000786496,0.486461188,-2.707762388,7.864964608,6.166220805,-1.811751904,100.5089984,99.96364297,100,100.2363207,74.04943657,100.1272496,99.49100164,99.72732231,100,100,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1
1,19,1.000664211,0.49303769,-1.392462029,6.642110984,3.534199953,-1.640115858,100.3264418,100,100.0181357,100.1813565,130.8636415,100.1269496,99.87305042,100.0181357,100,100,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1
0,20,0.999214312,0.486456273,-2.708745457,-7.856883839,2.665712761,-1.87987661,100.0181028,99.51122375,100,99.76466329,126.6649458,100.1448226,99.81897176,99.83707458,100,100,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0
0,21,0.997879045,0.504585355,0.917070927,-21.20955036,0.183312314,-2.282747313,100.0363042,99.5098929,100,99.63695771,47.29503273,100.471955,99.89108731,100.0363042,100,100,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1
1,10,1.001456664,0.512836929,2.5673858,14.56664239,0.353112067,-0.238181818,100.2915983,99.9817751,100,100.2369236,55.76333862,100.528522,99.90887552,100.5102971,100,100,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,11,0.998968885,0.508718377,1.743675338,-10.31115424,0.73193656,-0.315118397,100.1819836,99.87261146,99.98180164,99.90900819,101.1697362,100.1819836,99.94540491,100.0909918,100,100,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1
0,13,1.000428397,0.425669496,-14.86610086,4.283965728,2.717097267,-0.972655533,100.0550661,99.87151248,100,100.0183554,31.26165661,100.9361233,99.8164464,100.8627019,100,100,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,13,1.001345154,0.507141298,1.428259528,13.45154387,3.275995526,-0.787690053,100.2018719,99.94494403,100,100.1835199,143.9726268,100.036704,99.85318407,99.98164801,100,100,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1
0,15,1.001346884,0.509656015,1.931203035,13.46883801,4.67747636,-0.957446809,100.275634,99.88974642,99.9816244,100.183756,85.44722996,100.2940096,99.68761485,100.2572584,100,100,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,16,0.996827334,0.522100261,4.420052142,-31.7266626,2.184560843,-1.059493206,100.2743735,99.52441924,100,99.61587708,84.20518029,100.1646241,99.57929395,99.74391805,100,100,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1
0,18,0.998027127,0.513979222,2.795844406,-19.72872996,1.231351381,-1.999629355,100.0923702,99.57509699,99.98152596,99.68594125,115.9914459,100.4987992,99.96305191,100.4987992,100,100,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1
0,19,1.00184604,0.549874705,9.974941067,18.46040244,0.549220185,-1.466740372,100.2216066,99.9076639,99.98153278,100.2216066,109.6303058,100,99.59372114,99.64912281,100,100,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
1,21,0.996659634,0.501101789,0.220357815,-33.40365682,0.307314678,-0.72499559,100,99.31590949,100,99.43869497,43.59195204,100.3508156,99.66672514,100.2981933,100,100,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1
0,22,1.000471198,0.501911464,0.382292872,4.71198021,2.573524896,-0.934298834,100.1237405,100,100,100.0883861,20.51573143,100.3181899,99.96464557,100.1944494,100,100,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1.001353498,0.497899369,-0.420126253,13.53498499,3.58978497,-0.888575458,100.3181336,100,100.0176741,100.2474373,138.0236305,100.1060445,99.96465182,100.0883704,100,100,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1
1,1,1,0.513913123,2.782624612,0,3.700058343,-1.041960508,100.0528914,99.9471086,100,100,42.49027237,100.0705219,99.75317348,99.77080395,100,100,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0.505124401,1.024880118,0,4.265918817,-1.410143135,100.0176585,99.7704397,100,99.92936606,327.2450533,100.1412679,99.98234152,100.0882924,100,100,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1
0,4,1.000589379,0.501914865,0.382972964,5.893793835,3.961067428,-1.654002474,100.0707339,99.96463307,100,100.0707339,89.94778068,100.0884173,99.96463307,100.0530504,100,100,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
0,5,1.001589264,0.524329005,4.865801085,15.89263641,3.28305063,-1.516220028,100.2297226,99.98232903,100,100.2297226,202.7576197,100,99.8939742,99.92931613,100,100,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0
0,5,1.001116071,0.495500121,-0.899975701,11.16071429,1.950844338,-1.355395177,100.2115656,99.92947814,100,100.1586742,183.6077309,100,99.75317348,99.77080395,100,100,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
1,6,0.999824037,0.509082579,1.816515763,-1.759633996,0.561479601,-1.404435058,100.1408203,99.96479493,100,100.0176025,70.6042885,100.0528076,99.77116705,99.84157719,100,100,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
0,19,1.000854993,0.507909304,1.581860856,8.549931601,0.8091239,-2.118571673,100.1196172,99.67532468,100,100.0170882,81.99006709,100.3246753,99.77785373,99.77785373,100,100,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
0,19,1.000853534,0.497047399,-0.59052023,8.535336292,1.532055202,-1.944397066,100.3075346,99.94874423,100,100.1708526,68.09776833,100.1025115,99.65829489,99.98291474,100,100,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1
0,20,1.000568279,0.514068884,2.813776766,5.682786839,1.790788717,-1.855512012,100.2899539,99.84649497,100,100.1023367,124.2665418,100.1364489,99.77827051,99.82943885,100,100,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
0,20,1.004926945,0.537732886,7.546577235,49.26945294,1.167292763,-1.06339814,100.8519339,100,100.0170387,100.7837792,196.0253673,100.1874255,99.74441983,99.89776793,100,100,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0
