Profit,HH,Input,Score,ADX_Main,ADX_SMA,Dist_ADX,Dist_Step,H1,L1,O1,C1,V1,H2,L2,O2,C2,V2,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23
1,12,0.998822203,0.512558258,2.511651604,-11.77797269,2.617002583,-0.501279542,100.007512,99.7671274,99.99248798,99.8046875,86.00347021,100.007512,99.69951923,99.8422476,100,100,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
0,13,1.002178486,0.521714734,4.342946887,21.78485577,3.361349093,-0.079454314,100.3383713,99.94736446,100.0075194,100.3158132,137.1108949,100.0150387,99.69922551,99.93232574,100,100,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0
1,14,1.001500825,0.503658682,0.731736303,15.00825454,1.159486596,-0.050202308,100.3530384,99.93990836,100,100.247878,134.2031687,100.2553895,99.92488545,100.2028093,100,100,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
0,16,0.999824302,0.456104336,-8.779132841,-1.756984011,0.203502693,-0.599487875,100.1053424,99.668924,100.0075245,99.90970655,134.5181573,100.4890895,99.99247555,100.4439428,100,100,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1
0,17,1.001103974,0.527603606,5.52072122,11.03974308,0.313342937,-0.454135338,100.0225428,99.4740006,99.99248572,99.93988578,232.3619271,100.2028855,99.90982867,100.082657,100,100,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1
0,19,1.001425249,0.520335382,4.067076416,14.25249419,0.022865895,-0.113857678,100.1650041,99.78999475,100,100.1275032,94.86713145,100.1725043,99.79749494,99.87249681,100,100,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0
0,21,1.000025219,0.417786797,-16.44264052,0.252187728,0.528888073,-1.027386897,100.1134644,99.82602118,100.0075643,99.98487141,37.27240129,100.9531014,99.96217852,100.9152799,100,100,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,23,0.999216301,0.501693325,0.338665068,-7.836990596,3.777314611,-1.244781784,100.0379104,99.87868678,100,99.89385094,32.907743,100.2122981,99.90901509,100.197134,100,100,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
0,1,0.999898939,0.503756452,0.751290476,-1.01061142,4.5619791,-1.092328684,100.0378931,99.92421372,100,99.97726412,25.27472527,100.0151573,99.84084881,99.87116332,100,100,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,2,0.999545627,0.500996981,0.199396277,-4.543733434,4.819532862,-1.047049019,100.0605923,99.96970386,100.0151481,99.96970386,76.11464968,100.0302961,99.88638946,99.9166856,100,100,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,1.000404234,0.498249609,-0.350078137,4.042343549,4.975142496,-0.990226532,100.0303053,99.8560497,99.99242367,100,70.34764826,100.090916,99.90908402,99.99242367,100,100,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,4,1.000505689,0.492062883,-1.587423488,5.056890013,4.906418412,-1.010614102,100.0530947,99.92415049,100.007585,100.0455097,103.5714286,100.1668689,99.9848301,100.1213592,100,100,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,4,1.000353902,0.501691916,0.338383236,3.53901767,4.725704107,-1.002956561,100.0227445,99.90144049,99.9924185,100.0075815,60.68965517,100.0075815,99.87869598,99.96209249,100,100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,5,0.999595418,0.512003228,2.400645568,-4.045818899,3.660382555,-1.064734006,100.0227531,99.91657186,100,99.93932499,218.3908046,100.060675,99.94690937,100.0530906,100,100,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1
1,6,0.999974731,0.502717861,0.543572246,-0.252691161,1.894569698,-0.912743537,100.0606198,99.81814049,99.99242252,99.95453512,64.6572104,100.1288172,99.85602789,99.85602789,100,100,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,7,0.999520032,0.502377114,0.475422867,-4.799676653,1.240586739,-0.944726666,100.106133,99.98483815,100.0075809,99.98483815,29.98171846,100.106133,99.86354332,100.0379046,100,100,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,6,1.000405834,0.498260487,-0.347902636,4.058338618,1.782844553,-0.578078649,100.1065611,99.96194246,100.015223,100.0685036,57.10784314,100.1141726,100,100.0913381,100,100,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,7,1.000887514,0.500325333,0.06506661,8.875139466,2.032569875,-0.436269666,100.1217378,99.94673971,99.98478277,100.1065206,179.6875,100.0760861,99.98478277,100.0304345,100,100,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0
0,8,1.000783917,0.494812595,-1.037481092,7.839170565,1.10530436,-0.122043663,100.2277731,100.0075924,100.0075924,100.1594412,245.9302326,100.0075924,99.87852099,99.88611343,100,100,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0
1,17,0.999235766,0.519401871,3.880374142,-7.642338556,0.463032474,-0.764053537,100.0152672,99.64122137,100,99.80916031,94.99139145,100.5114504,99.87022901,100.4198473,100,100,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,19,0.998829814,0.505547024,1.109404755,-11.70185703,1.140631441,-0.637988998,100.0534025,99.83979249,100,99.84742142,110.3371365,100.0991761,99.84742142,99.93133964,100,100,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1
0,20,1.001779179,0.526616295,5.323258943,17.79178528,0.845011137,-0.253463236,100.4198473,99.90839695,100.0076336,100.2900763,84.49990733,100.0458015,99.84732824,99.91603053,100,100,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
1,21,1.000303813,0.508253532,1.650706327,3.038128513,0.071586257,-0.014426727,100.0911508,99.93163692,100,100.0379795,18.52006514,100.2506646,99.78731485,99.79491075,100,100,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,13,1.000808857,0.507538061,1.507612197,8.08856984,0.22514927,-0.575087134,100.0303076,99.7348083,99.99242309,100,91.22959739,100.0227307,99.84846189,99.90907713,100,100,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1
0,14,0.997703296,0.50616706,1.233411981,-22.96703851,1.362353087,-0.665553616,100.0756029,99.48590005,99.99243971,99.62198533,177.6323278,100.0756029,99.68246768,99.7731912,100,100,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1
0,16,1.000836184,0.50791237,1.582473936,8.361839605,3.560874159,-0.615221024,100.1139731,99.74166097,100.0075982,100.037991,105.4902735,100.3191247,99.90122331,100.2431426,100,100,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
0,18,1.001617673,0.554256386,10.85127719,16.17673078,3.991866124,-0.23544553,100.4860636,99.97721577,100.0075947,100.3189793,76.42814468,100.1670844,99.58228906,99.5898838,100,100,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,21,1.000360881,0.499007076,-0.198584718,3.608805485,5.712608172,-1.869202226,100.0154452,99.56753417,100.0077226,99.89960615,68.05699276,100.293459,99.96138698,100.0077226,100,100,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1
