Profit,Diff Step,Last Swing Bars,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
1,9.15,29,100.0711783,99.91787122,100.0547525,100,100,100.0771513,100.1204555,100.0109505,100.0109505,100.0711783,32.50591017,100.0821288,100.0547525,100.0109505,100.0273763,100.0109505,12.88416076,100.083622,1,0,0,1,0,0,1,0,0,0,1
1,0.833333333,0,100.0543863,100,100.0271931,100,100,100.0420257,100.0271931,99.98912275,99.98912275,100.0217545,25.70422535,100.043509,100.0271931,99.90754337,100,100,138.028169,100.0677356,1,0,0,0,0,1,1,0,0,0,0
0,0.266666667,0,100.0054807,99.98355804,99.99451935,100,100,100.001993,100.0109613,99.96163543,100.0109613,99.98355804,185.6382979,100.0059789,100.0219226,99.94519347,99.94519347,100.016442,356.3829787,100.0099648,1,0,0,0,0,1,0,1,1,0,1
0,9.016666667,0,100.1753425,99.95616438,100.1041096,100,100,100.2042341,100.1808219,100.0931507,100.1424658,100.0986301,18.69738591,100.2062267,100.1753425,100.0821918,100.1315068,100.1369863,35.26805494,100.2042341,1,0,0,0,0,0,1,1,0,0,1
0,1.466666667,0,100.0435706,99.97821469,100,100,100,100.0316877,100.0054463,99.94553674,99.96187571,99.99455367,57.8,100.0341633,100.0054463,99.96732204,99.97821469,99.96732204,124.2,100.0376292,1,0,1,0,0,0,0,0,1,1,1
1,1.35,0,100.0435849,99.96186325,100.0435849,100,100,100.0995518,100.0871697,100.0326886,100.0381367,100.049033,128.0513919,100.113915,100.0326886,99.98910379,100.0108962,100.0326886,76.33832976,100.1248112,0,0,0,0,0,0,1,0,0,0,1
0,4.55,0,100.0054374,99.92931325,99.97825023,100,100,100.1196237,100,99.83143929,99.88581371,99.98368767,176.2820513,100.1285214,100.0380621,99.76075254,100.0108749,99.88581371,320.6552707,100.1369247,1,0,1,0,0,1,0,0,0,1,1
0,1.833333333,0,100.027242,99.98365479,100,100,100,100.0089156,100.0217936,99.98365479,99.98910319,100.0054484,71.09375,100.0084203,100.0490356,99.98365479,100.027242,99.9945516,189.0625,100.0123827,0,0,0,0,0,0,0,0,1,0,0
0,0.216666667,0,100.0163863,99.84706139,99.90168232,100,100,100.3783741,99.95084116,99.77605418,99.92899279,99.90168232,116.009903,100.418595,100.0327726,99.79244046,99.83067511,99.92899279,176.0470394,100.4603055,1,1,0,0,0,0,0,1,0,0,1
0,2.033333333,0,100.0054552,99.95635808,99.9727238,100,100,100.0600076,100.0109105,99.91271616,100.0109105,99.96726856,238.3886256,100.0669507,100.0545524,100.0054552,100.0327314,100.0109105,102.1327014,100.071414,0,1,0,0,0,0,0,1,0,0,1
0,0.35,0,100.0546568,99.89615216,99.98360297,100,100,100.1406169,100.0819851,99.88522081,100.0327941,99.9781373,172.014367,100.1545296,100.1311762,99.99453432,100.0601224,100.0327941,64.68123316,100.1659578,1,1,0,0,0,0,0,1,0,0,1
0,0.216666667,0,100.0928962,99.99453552,100.0163934,100,100,100.0228515,100.0163934,99.93442623,99.93989071,100.010929,38.92100193,100.0183805,99.96721311,99.91803279,99.92896175,99.94535519,15.02890173,100.0213612,0,0,0,1,1,1,1,0,1,0,0
0,0.633333333,0,100.0655989,99.96720057,100.038266,100,100,100.063611,100.076532,100.038266,100.076532,100.038266,58.06451613,100.0029818,100.0983983,100.0546657,100.0819986,100.0655989,29.91202346,100.0024848,0,0,0,1,0,0,1,1,0,0,0
0,0.9,0,100.0218603,99.98906984,100.0163952,100,100,100.0178857,100.0218603,99.99453492,100.0054651,100.0163952,25.87412587,100.0213635,100.0218603,99.97813969,100.0054651,100.0054651,55.24475524,100.0243444,0,1,0,0,0,0,1,0,0,0,0
