Profit,Diff Step,Last Swing Bars,H1,L1,O1,C1,V1,HiLo1,H2,L2,O2,C2,V2,HiLo2,H3,L3,O3,C3,V3,HiLo3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
1,20.03333333,0,100.0808688,99.95956562,99.98844732,100,100,99.81515712,100.0750924,99.95378928,100.0693161,99.98844732,168.7719298,99.78732566,100.0808688,100.017329,100.0404344,100.0635397,112.9824561,99.75529323,1,0,0,0,0,0,0,1,1,0,0
1,3.283333333,0,100.0746311,99.959814,100.0459269,100,100,99.9723395,100.0688903,99.95407314,100.0287043,100.040186,71.85069984,99.98434312,100.1148172,99.95407314,100.1148172,100.0344451,164.1524106,99.99843431,0,0,0,0,0,0,1,0,0,0,0
0,1.383333333,0,100.0284269,99.94883166,99.96588777,100,100,99.85993312,100.0511683,99.96588777,100.0397976,99.97157314,157.3257468,99.81341644,100.0511683,99.85786571,99.86923645,100.0397976,215.7894737,99.76638291,1,0,0,0,0,0,0,1,1,0,1
0,8.55,0,100.102529,99.96012759,100.0113921,100,100,99.9580563,100.0512645,99.8632946,100.0512645,100.0113921,160.5080133,99.94303942,100.1708817,100.0170882,100.1480975,100.0455685,67.64439069,99.93371859,0,0,0,0,0,0,1,1,0,0,1
0,4.4,0,100.0846597,99.99435602,100.0677277,100,100,99.98665969,100.1015916,100.0507958,100.0846597,100.0677277,65.19337017,99.98358116,100.1072356,100.0451518,100.0846597,100.0846597,140,99.97485864,0,0,0,0,0,0,1,1,0,0,1
1,7.25,0,100.0735502,99.96039604,100.0735502,100,100,99.94702327,100.1188119,99.98302687,99.99434229,100.0735502,41.86394219,99.94342291,100.1810467,99.98302687,100.1640736,100,64.11662098,99.93776521,1,0,0,0,0,0,1,0,0,0,1
1,9.6,0,100.1140706,99.98288941,100.1026635,100,100,99.88541089,100.279473,100.0114071,100.0684424,100.1083671,147.1157425,99.86363377,100.09696,99.88592939,99.88592939,100.0684424,83.2899144,99.83304211,1,0,0,0,0,0,1,0,1,0,1
0,6.85,0,100.0344471,99.99425881,100.0172236,100,100,99.93475924,100.0287059,99.98277644,100.0229647,100.0229647,39.52254642,99.92327686,100.0401883,100.0057412,100.0401883,100.0287059,15.91511936,99.90709715,1,0,0,1,0,0,1,0,1,0,0
1,0.25,0,100.0114692,99.97706159,99.9942654,100,100,99.89990512,100.0172038,99.95412318,99.97132699,100,223.9583333,99.8899999,99.98853079,99.93118477,99.95412318,99.96559238,160.7638889,99.88426529,0,0,0,0,0,1,0,0,1,0,1
1,0.166666667,0,100.2183532,99.98276159,100.1149227,100,100,99.98014971,100.25283,99.95977705,100.0632075,100.1206689,132.4400125,99.92843449,100.2987991,99.89082342,100.2987991,100.0574614,378.373325,99.87462977,1,0,0,0,0,1,1,0,0,0,1
0,2,13,100.0287439,99.94251222,99.97700489,100,100,99.92422065,100.051739,99.96550733,100.0172463,99.97125611,77.9286927,99.92056234,100.051739,99.98850244,100.0402414,100.0114976,94.39728353,99.91638141,0,0,0,0,0,0,0,1,1,0,0
1,3.133333333,8,100.0459849,99.95976318,99.97125941,100,100,99.91273313,100.0804736,99.97125941,100.0574812,99.97125941,132.2123894,99.89078577,100.0689774,99.90803012,99.91377824,100.0574812,129.0265487,99.85995496,1,1,0,0,0,0,0,1,1,0,0
0,5.533333333,0,100.1785611,99.98271989,100.1382409,100,100,99.97695985,100.1670411,100.0633604,100.0748805,100.1382409,73.38262477,99.97905441,100.2188814,99.91935948,100.1900812,100.0633604,331.0998152,99.97172346,1,1,0,0,0,0,1,0,0,0,1
0,7,0,100.0286747,99.85662671,99.93118082,100,100,99.89624988,99.98853014,99.8910363,99.95412055,99.93118082,38.54961832,99.90407024,100.0974938,99.92544589,99.99426507,99.95985548,67.85714286,99.90719838,0,0,0,0,0,0,0,1,1,0,1
0,1.25,0,100.0689695,99.98850509,100.0459797,100,100,99.99059507,100.0804644,100.0402322,100.0574746,100.0459797,74.33962264,99.98955008,100.126444,100.0287373,100.1034542,100.0517271,121.8867925,99.98223513,1,0,0,0,0,0,1,1,0,0,1
0,9.683333333,0,100.0229925,99.86204518,99.91377824,100,100,99.8939211,99.94251883,99.85629706,99.86204518,99.91377824,63.20598007,99.9702143,99.89653389,99.79881589,99.87928953,99.85629706,67.40033223,99.9785752,0,0,1,0,1,1,0,0,1,1,1
0,3.483333333,0,100.091954,99.97126437,100.0344828,100,100,99.94200627,100.0977011,100.0057471,100.0402299,100.0287356,50.06361323,99.94514107,100.1091954,100.0114943,100.0229885,100.0344828,60.75063613,99.94514107,1,0,0,0,0,0,1,1,1,0,1
0,1.433333333,0,100.0399247,99.99429647,100.0057035,100,100,99.98962994,100.0285177,99.98859294,100.0057035,100.0114071,64,99.99118545,100.0456282,99.98859294,100.0285177,100.0114071,95.46666667,99.99325946,1,1,0,0,0,0,1,0,0,0,1
0,1.966666667,0,100.0285242,99.91442752,99.99429517,100,100,99.99118344,100.034229,99.97147584,99.99429517,99.99429517,47.57796948,99.99481379,100.0513435,99.95436134,100.0456387,100.0057048,75.18248175,99.99325793,0,0,0,0,0,0,0,0,0,0,1
0,2.25,0,100.0627782,99.99429289,100.0570711,100,100,99.95797491,100.0741924,100.0057071,100.0171213,100.0627782,140.4580153,99.96471968,100.0627782,100.0114142,100.0342427,100.0171213,145.8015267,100.0529205,0,0,0,0,0,0,1,0,1,0,1
0,2.633333333,0,100.0797357,99.94874131,100.0740403,100,100,99.89748263,100.096822,100.0170862,100.0170862,100.0797357,60.30126336,99.87987864,100.0455633,100.0056954,100.028477,100.0113908,32.55587949,99.85140159,1,0,0,1,0,0,1,0,1,0,1
1,2.95,0,100.0343014,99.9885662,100.0285845,100,100,99.97765212,100.0457352,100.0285845,100.0285845,100.0285845,38.13559322,99.97401409,100.0514521,100.0285845,100.0285845,100.0343014,55.08474576,99.97297466,0,0,0,0,0,0,1,0,0,0,0
1,1.416666667,0,100.0858074,99.97711801,100.0858074,100,100,99.99479955,100.0915279,99.9942795,100.0400435,100.0858074,150.7067138,99.99167928,100.0915279,100.011441,100.0514845,100.0400435,182.8621908,99.98699887,0,0,0,0,0,0,1,0,0,0,1
0,1.566666667,0,100.0341822,99.94872671,100.0113941,100,100,99.870522,100.0740614,99.86327124,99.92024155,100.0113941,323.5793045,99.86327124,100.0284852,99.88605936,99.89745343,99.93733265,164.8006785,99.86223541,1,1,0,0,0,0,1,0,1,0,1
0,2.266666667,0,100.0396354,99.99433781,100.0169866,100,100,99.99948526,100.0396354,99.98867561,100.0226488,100.0169866,240.5405405,99.99691153,100.0396354,100,100.0396354,100.0226488,92.79279279,99.99330832,0,1,0,0,0,0,1,1,0,0,0
1,0.55,0,100.0056609,99.98301727,99.98301727,100,100,99.96294676,99.98867818,99.97169544,99.97735635,99.98301727,60.55045872,99.95368345,100.0283046,99.96603453,100.0226436,99.97735635,161.4678899,99.94287626,0,0,1,0,0,1,0,0,0,1,0
0,2.816666667,0,100.0169981,99.95467165,99.9603377,100,100,99.91294897,99.99433396,99.94900561,99.96600374,99.9603377,108.7827427,99.90470745,100.0339963,99.96600374,99.97733583,99.97166978,131.2788906,99.89595084,0,0,0,0,0,0,0,1,1,0,0
1,2.2,0,100.0112848,99.95486092,100.0112848,100,100,99.94716675,100.0564239,99.99435761,100.0225695,100.0112848,169.8387097,99.94665381,100.0564239,99.94357614,99.94357614,100.0225695,155.3225806,99.94049848,0,0,0,0,0,0,1,1,1,0,0
0,5.516666667,0,100.1413707,99.99434517,100.1244062,100,100,99.97686661,100.1696449,100.0565483,100.0565483,100.1187514,77.98742138,99.98200736,100.1017869,100.0056548,100.0282741,100.0622031,76.84748428,100.0961321,1,0,0,1,0,0,1,0,0,0,1
1,1.583333333,0,100.0112619,99.97184526,99.9887381,100,100,99.93140482,100,99.96621431,99.9887381,99.9887381,89.47368421,99.92577387,100.0281547,99.93805958,99.94932147,99.9887381,265.3739612,99.92219054,0,1,0,0,0,1,0,0,1,0,1
1,2.333333333,0,100.0394722,99.98308334,100.0338333,100,100,99.98154546,100.0451111,100.0056389,100.0281944,100.0338333,96.98492462,99.97949496,100.0338333,99.97744446,100,100.0281944,81.65829146,100.0292197,1,0,0,1,0,0,1,0,0,0,0
0,5.166666667,0,100.0395793,99.99434581,100.0282709,100,100,99.99485983,100.0565419,99.97738324,100.0282709,100.0282709,202.9375765,99.98714957,100.0678503,100.0113084,100.0113084,100.0339251,152.1419829,99.970187,1,0,0,0,0,0,1,0,0,0,0
0,2.083333333,0,100.0282725,99.99434549,100.022618,100,100,99.99948595,100.0452361,100.022618,100.0395816,100.0282725,43.36283186,99.99845786,100.0508906,100.0169635,100.0339271,100.0452361,36.28318584,99.99280335,1,1,0,1,0,0,1,1,0,0,0
1,2.683333333,0,100.0737714,99.98865055,100.0510725,100,100,99.98916643,100.0851209,100.0283736,100.0680967,100.0567472,63.0831643,99.98916643,100.0680967,100.0283736,100.0397231,100.062422,36.10547667,99.98555525,0,0,0,1,0,0,1,1,0,0,1
0,3.283333333,0,100.0625391,99.9602024,100.045483,100,100,99.96382036,100.0795952,100.0284269,100.0568537,100.045483,75.6027001,99.95296647,100.1364489,100.0568537,100.1250782,100.0625391,83.99228544,99.93074184,1,0,0,0,0,0,1,1,0,0,0
1,1.45,0,100.0227337,99.98863313,100.0170503,100,100,99.99534992,100.0284172,99.98863313,100.0170503,100.0113669,320,99.99431657,100.0341006,100.0113669,100.0227337,100.0170503,87.5,99.99431657,0,1,0,0,0,0,1,1,0,0,0
0,0.1,0,100.0169827,100,100.0169827,100,100,99.98816355,100.0452873,99.98301727,99.98867818,100.0452873,190,99.98456115,99.97735635,99.97735635,99.97735635,99.97735635,25,100.0082341,1,1,0,0,0,1,1,0,0,0,0
0,0.25,0,100.0056583,100,100.0056583,100,100,99.98765451,100.0226334,100.0113167,100.0113167,100.0113167,200,99.98456814,100.016975,99.9886833,99.9886833,100.016975,220,99.97428023,1,0,0,0,0,0,1,0,1,0,0
0,0.866666667,0,100,99.9434037,99.9434037,100,100,99.95009235,99.93208444,99.90944592,99.93208444,99.93208444,175,99.98199209,99.95472296,99.93208444,99.93774407,99.95472296,150,99.99073879,0,0,0,0,0,0,0,0,1,0,1
1,2.25,0,100.0056606,99.96603645,99.96603645,100,100,99.95008388,100.0056606,99.99433941,100.0056606,99.99433941,26.66666667,99.94802548,100.0056606,99.97735764,99.97735764,100.0056606,166.6666667,99.94339409,0,0,0,0,0,0,0,1,1,0,1
0,2.466666667,0,100.0626032,99.96585283,100.0341472,100,100,99.99844786,100.1024415,100.0341472,100.0796767,100.0398384,98.6013986,99.99637833,100.0910591,100.0170736,100.0170736,100.0796767,144.7552448,99.99016975,1,0,0,0,0,0,1,1,0,0,1
0,1.133333333,0,100.0227492,99.98293807,100.0056873,100,100,99.98862538,100.0454985,99.99431269,100.0341239,100,134.4615385,99.99017646,100.0568731,100.0227492,100.0454985,100.0284366,72.30769231,99.99172755,0,0,0,0,0,0,1,1,0,0,1
0,1.366666667,0,100,99.86923645,99.86923645,100,100,99.94056202,99.96588777,99.8408096,99.96588777,99.86355108,148,99.99689889,99.98862926,99.94883166,99.97157314,99.96588777,65,99.95451703,0,0,0,0,0,0,0,1,1,0,1
0,0.816666667,0,100.0056867,99.91470003,99.97725334,100,100,99.95967638,100.03412,99.94313335,100.0113733,99.97725334,62.33183857,99.96794789,100.0227467,99.95450668,100.0056867,100.0227467,60.20179372,99.97156668,0,0,0,1,0,0,0,1,0,0,1
1,5.083333333,0,100.0115154,99.98272685,100,100,100,99.9434697,100.0057577,99.93666513,99.94818056,100,114.8036254,99.93875885,100,99.9251497,99.97696914,99.95393828,163.7462236,99.93718856,1,0,0,0,1,1,0,0,1,0,0
0,2.716666667,0,100.1758087,99.95897797,100.1465073,100,100,99.92541448,100.4219409,100.1347867,100.2578528,100.140647,84.49280995,99.9136939,100.4278012,100.1289264,100.1523676,100.2402719,96.94908667,99.88705622,0,0,0,0,0,0,1,1,0,0,1
0,3.716666667,0,100.0058442,99.96493484,99.99415581,100,100,99.97715452,100.0584419,99.99415581,100.0350652,99.99415581,33.81924198,99.97874839,100.0409094,99.98246742,100.0058442,100.0409094,58.01749271,99.97874839,0,0,0,0,0,0,0,1,0,0,0
0,1.966666667,0,100.0517807,99.97123296,100.0460273,100,100,99.93723554,100.0863011,100.028767,100.028767,100.0402739,81.0707457,99.93462035,100.0632875,99.98849318,100.0575341,100.0230136,142.4474187,99.92834391,0,0,0,0,0,0,1,0,1,0,1
1,1.266666667,0,100.0460379,99.99424527,100.0230189,100,100,99.92048005,100.0287737,99.98849053,99.99424527,100.0287737,103.9049236,99.91786426,100.0057547,99.87339587,99.93669793,100.0057547,200.1697793,99.91524847,0,0,0,0,1,1,1,0,1,0,0
0,0.55,0,100.040411,99.99422699,100.034638,100,100,99.99632627,100.034638,100.017319,100.017319,100.034638,112.5,99.99632627,100.034638,100.017319,100.034638,100.023092,90.27777778,99.99422699,0,0,0,0,0,0,1,0,0,0,0
1,0.25,0,100.0400985,99.98854328,100.0229134,100,100,99.99635468,100.063012,100,100.0515553,100.0286418,138.3763838,99.99791696,100.0916538,100.0171851,100.0286418,100.0515553,89.29889299,99.9947924,0,0,0,0,0,0,1,1,0,0,1
0,0.533333333,0,100.0290833,99.98836668,100.0290833,100,100,99.99418334,100.0523499,100.0290833,100.0465333,100.0290833,82.82608696,99.97461822,100.0697999,100.0349,100.0407166,100.0407166,62.39130435,99.94817886,1,0,0,1,0,0,1,1,0,0,0
0,2.333333333,0,100.0407356,99.99418063,100.0116387,100,100,99.888903,100.1047486,100,100.0116387,100.0116387,250.7731959,99.8920772,100.0174581,99.97090317,99.99418063,100.0116387,127.5773196,100.0084645,0,0,0,0,0,0,1,0,1,0,1
0,2.466666667,0,100.0116191,99.80828444,99.84314181,100,100,99.77659591,99.98257131,99.79666531,99.79666531,99.83152269,125.8909853,99.75863908,99.94771394,99.79085575,99.907047,99.79666531,52.79524808,99.7412104,0,0,1,0,1,1,0,0,1,1,1
0,2.55,0,100.0290461,99.9767631,100.0232369,100,100,99.93187363,100.0406646,99.98838155,100.0116185,100.0232369,295,99.92395196,100.0174277,99.96514465,99.97095387,100.0116185,171.6666667,99.91391785,0,0,0,0,0,0,1,0,1,0,0
0,4.35,0,100.0697512,99.96512439,100.0465008,100,100,99.99313056,100.058126,99.9883748,100.0232504,100.0523134,65.06329114,99.98996005,100.029063,99.98256219,99.9883748,100.0174378,48.60759494,100.0433303,0,0,0,1,1,0,1,0,0,0,0
1,0.433333333,0,100.0290563,99.9651325,100.0174338,100,100,99.97886818,100.0348675,99.99418875,100,100.023245,64.76190476,99.97992477,100.0871688,99.98256625,100.0523013,100.0058113,123.1292517,99.97886818,0,0,0,0,0,0,1,0,0,0,1
1,9.633333333,6,100.2136618,99.96857915,100.1571043,100,100,99.80747588,100.2450826,100.0879784,100.1508201,100.1571043,55.83684951,99.74234902,100.2639351,100.07541,100.1005467,100.1571043,84.24753868,99.6949321,1,0,0,0,0,0,1,0,0,0,1
0,4.583333333,11,100.0378501,99.94953318,100.0378501,100,100,99.98451586,100.2018673,99.99369165,100.1955589,100.0378501,162.1553885,99.97820751,100.2460257,100.1514005,100.1640172,100.1955589,90.22556391,99.96903173,0,0,0,0,0,0,1,1,0,0,0
0,0.6,0,100.0315537,99.99368926,100.0315537,100,100,99.99311556,100.0757289,99.9684463,100.0126215,100.0378644,492.8571429,99.99254185,100.1135933,100,100.0757289,100.0189322,216.4285714,99.99827889,0,0,0,0,0,0,1,0,0,0,1
1,1.5,0,100.0126167,99.92429977,99.93060813,100,100,99.90881564,99.98107494,99.84859955,99.91168307,99.93060813,278.7610619,99.99082421,99.96214989,99.90537472,99.96214989,99.91799142,50,100.0057349,0,0,1,0,1,0,0,0,1,1,0
0,17.56666667,0,100.1464595,99.95542537,100.0955171,100,100,99.8871162,100.1337239,99.94905756,99.94905756,100.1018849,119.92966,99.8732228,100.2037697,99.94268976,100.1846663,99.94905756,172.2157093,99.86511833,1,0,0,0,0,1,1,0,0,0,0
0,17.5,0,100.1083424,99.87891148,100.0063731,100,100,99.9542297,100.2103116,99.91714996,100.2103116,100.0063731,117.2657253,99.96465837,100.2612963,99.96176152,100,100.2103116,95.31450578,99.97276957,1,0,0,0,0,0,1,1,0,0,0
1,11.38333333,0,100.114533,99.79638585,100.0827182,100,100,99.77440478,100.222703,99.9554594,99.96182235,100.0827182,83.10010764,99.77498322,100.0509035,99.8345635,99.9554594,99.96818529,60.74632221,100.0185104,1,0,0,1,0,0,1,0,1,0,1
0,13.26666667,0,100.0193137,99.98068628,100,100,100,99.856025,100.070817,99.95493466,99.95493466,100,142.5925926,99.84490498,100.0515033,99.92918303,100.0064379,99.96781047,124.0740741,99.83085864,1,0,0,0,0,1,0,0,1,0,0
0,13.78333333,0,100.1997294,99.97422846,100.1353006,100,100,99.98008563,100.1997294,100.0193287,100.0773146,100.1417434,59.66386555,99.97715705,100.0966433,99.92912828,99.92912828,100.0644288,46.77871148,100.0802432,1,0,0,1,0,0,1,0,0,0,0
0,2.616666667,0,100.0515331,99.99355836,100.0515331,100,100,99.966035,100.1288328,100.0064416,100.1288328,100.0579747,121.2903226,99.95256611,100.1481577,100.0257666,100.1223911,100.1352744,226.1290323,99.92562835,0,0,0,0,0,0,1,1,0,0,0
1,2.65,3,100.2067451,99.98061765,100.0129216,100,100,99.78033338,100.0258431,99.84494121,99.87724512,100.0064608,21.90179267,99.75155352,99.95477452,99.86432356,99.95477452,99.87078434,7.911145752,99.73452055,0,1,0,1,1,0,1,0,1,0,1
0,6.65,0,100.032417,99.96109959,100.032417,100,100,99.7512731,100.2334025,99.98054979,100.2009855,100.032417,154.6336207,99.71531969,100.2723029,99.90923237,99.90923237,100.2139523,250.5387931,99.67759808,0,1,0,0,0,0,1,1,1,0,1
1,6.75,0,100.1821849,100,100.0910925,100,100,99.9627349,100.1366387,99.92192075,99.95445377,100.0910925,81.99841396,99.94794717,100.0845859,99.95445377,100.032533,99.95445377,65.26566217,99.9373,0,0,0,1,1,0,1,0,0,0,0
0,5.283333333,14,100.3312549,99.98051442,100.2792933,100,100,99.96516214,100.2792933,100.0844375,100.1363991,100.2792933,62.26415094,99.9492194,100.201351,100.0129904,100.0519615,100.1299039,45.96499204,99.92146721,1,0,0,1,1,0,1,0,0,0,1
1,2.366666667,0,100.019454,99.96109202,99.98703067,100,100,99.98231455,100.0518773,99.96109202,100.0453926,99.99351534,167.2727273,99.9882097,100.1232086,100.019454,100.0259387,100.038908,266.3636364,99.98997825,0,0,0,0,0,0,0,1,0,0,1
0,13.06666667,0,100.0653851,99.86269125,99.98692298,100,100,99.94828632,100.1307702,99.80384464,99.97384595,99.98692298,154.3812709,99.94412544,100.1896168,99.81038316,100.1896168,99.97384595,163.2441472,99.94234221,1,0,1,0,0,0,0,0,0,1,1
0,1.533333333,0,100.0260501,99.93487463,100.0130251,100,100,99.99526361,100.097688,99.99348746,100.0781504,100.0065125,65.13452915,99.98579083,100.1172257,100.0455878,100.0651254,100.0781504,57.17488789,99.97098961,0,0,0,1,0,0,1,1,0,0,0
0,0.033333333,0,100.0455878,99.90882449,99.97394985,100,100,99.93842693,100.0911755,99.96092478,100.0521003,99.99348746,74.45255474,99.93428258,100.0586128,99.99348746,100.0521003,100.0455878,26.94094227,99.93191439,0,0,0,1,0,0,0,1,0,0,1
1,5.716666667,0,100.0323562,99.95470135,100.0194137,100,100,99.91881541,100.0388274,99.97411506,99.98058629,100.0258849,106.8773234,99.91352076,99.97411506,99.889989,99.94175888,99.97411506,120.0743494,100.0217669,0,0,0,0,0,0,1,0,1,0,0
